matricule;prenom;nom;date_naissance;parcours;niveau;UE1;UE2;UE3;UE5;UE6;UE7;UE8;UE1_credit;UE2_credit;UE3_credit;UE5_credit;UE6_credit;UE7_credit;UE8_credit;UE1_nom;UE2_nom;UE3_nom;UE5_nom;UE6_nom;UE7_nom;UE8_nom
20230001;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.5;14.0;13.5;11.0;15.5;16.0;14.5;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230002;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.0;13.5;14.0;12.5;14.5;15.5;13.0;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230003;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.5;12.0;13.0;14.5;15.0;13.5;12.5;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230004;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.5;15.5;13.0;12.0;14.0;16.5;15.0;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230005;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.0;14.5;15.0;11.5;12.5;14.0;13.5;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230006;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.5;16.0;14.5;13.0;15.0;13.5;14.0;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230007;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.0;13.5;14.5;15.0;11.5;12.5;13.0;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230008;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.0;15.5;13.0;12.5;14.5;15.0;16.5;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230009;Nicolas;Girard;30/06/2000;SAGE-FEMME;L1;13.5;12.0;14.0;15.5;16.0;14.5;13.0;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230010;Camille;Laurent;25/10/2001;KINESITHERAPIE;L1;15.0;14.5;13.5;12.0;13.0;15.5;14.0;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230011;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.6;14.1;13.6;11.1;15.6;16.1;14.6;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230012;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.1;13.6;14.1;12.6;14.6;15.6;13.1;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230013;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.6;12.1;13.0;14.6;15.1;13.6;12.6;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230014;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.6;15.6;13.0;12.1;14.1;16.6;15.1;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230015;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.1;14.6;15.1;11.6;12.6;14.1;13.6;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230016;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.6;16.1;14.5;13.1;15.1;13.6;14.1;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230017;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.1;13.6;14.5;15.1;11.6;12.6;13.1;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
